extreme,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
Cold Wave,-0.0419090909090909,0.2535897455974975,0.025,0.08201111537631646,55.0
Drought,-0.08982767489711935,0.377734705102072,0.07375514403292181,0.16513349628569285,108.0
Earthquake,-2.6803118908387718e-05,0.3018658798563757,0.07903265107212476,0.16673216910111166,228.0
Flood,-0.07353650793650794,0.33260819019704013,0.0696031746031746,0.16809972733927733,350.0
Fog,-0.13226579520697165,0.3599562360768089,0.011437908496732025,0.04719818688589536,51.0
Heat Wave,0.07865143369175626,0.309100179692195,0.13844086021505378,0.2790268789514551,62.0
Landslide,-0.0933127572016461,0.29814070757911443,0.046502057613168724,0.12078205950591789,81.0
Precipitation,0.03703703703703703,0.2508357942539548,0.027777777777777776,0.08333333333333334,9.0
Snow Avalanche,-0.19293478260869565,0.3287930011838491,0.043115942028985506,0.1123033857737751,46.0
Snow&Ice,0.01456391723356009,0.2860467995753827,0.051269841269841264,0.12446232681187969,140.0
Storm,-0.09477289789789789,0.29412461065531526,0.05461711711711712,0.1359830386296696,148.0
Storm Surge,-0.060004340277777776,0.23144737575302873,0.028645833333333332,0.11711812687939889,64.0
Thunderstorm,-0.07708333333333334,0.11000315652036737,0.0,0.0,4.0
Tropical Cyclone,-0.14687237495227187,0.32414428421873365,0.05269186712485681,0.14309276955697678,291.0
Volcano,0.08461111111111111,0.31350081788301337,0.027777777777777776,0.09719215504283543,100.0
Wet Spell,0.02666666666666666,0.21307069908135548,0.0125,0.055901699437494734,20.0
Wildfire,-0.01488993710691824,0.3361445572979939,0.06383647798742138,0.16131589785317937,53.0
