,phrase,label,sentiment,subjectivity,language,count
Deutsche Wetterdienst,Deutsche Wetterdienst,ORG,-0.2471698113207546,0.009433962264150943,de,53
DWD,DWD,ORG,-0.025510204081632657,0.04081632653061224,de,49
IMD,IMD,ORG,-0.014473684210526317,0.02631578947368421,de,38
National Weather Service,National Weather Service,ORG,-0.06145833333333334,0.046875,de,32
USGS,USGS,ORG,-0.05166666666666666,0.0,de,30
NWS,NWS,ORG,-0.015277777777777793,0.041666666666666664,de,24
KUALA LUMPUR,KUALA LUMPUR,ORG,0.004347826086956516,0.043478260869565216,de,23
Nationale Wetterdienst,Nationale Wetterdienst,ORG,-0.015000000000000003,0.0,de,20
Reuters,Reuters,ORG,-0.26842105263157895,0.02631578947368421,de,19
Lawine,Lawine,ORG,-0.3447368421052632,0.0,de,19
Wetteramt,Wetteramt,ORG,0.19705882352941173,0.0,de,17
United States Geological Survey,United States Geological Survey,ORG,0.09999999999999999,0.0,de,17
MetMalaysia,MetMalaysia,ORG,0.21875,0.0,de,16
CBS News,CBS News,ORG,0.0,0.0,de,16
Taliban,Taliban,ORG,-0.15208333333333335,0.4375,de,16
Vulkan,Vulkan,ORG,0.14285714285714285,0.0,de,14
Met Éireann,Met Éireann,ORG,-0.1846153846153846,0.0,de,13
Deutschen Wetterdienstes,Deutschen Wetterdienstes,ORG,-0.07692307692307693,0.0,de,13
Japan Meteorological Agency,Japan Meteorological Agency,ORG,0.29230769230769227,0.0,de,13
NASA,NASA,ORG,0.3361111111111111,0.0,de,12
AP,AP,ORG,0.11666666666666665,0.08333333333333333,de,12
BBC,BBC,ORG,-0.024999999999999994,0.0,de,12
BNPB,BNPB,ORG,0.12727272727272726,0.18181818181818182,de,11
…,…,ORG,-0.007575757575757569,0.09090909090909091,de,11
lby,lby,ORG,0.13787878787878788,0.0303030303030303,de,11
New York Times,New York Times,ORG,-0.195,0.15,de,10
ADAC,ADAC,ORG,-0.044999999999999984,0.15,de,10
BSR,BSR,ORG,0.15555555555555556,0.1111111111111111,de,9
ABC News,ABC News,ORG,-0.2222222222222222,0.0,de,9
B.C.,B.C.,ORG,0.0,0.0,de,9
Vereinten Nationen,Vereinten Nationen,ORG,0.08518518518518518,0.0,de,9
U.S.,U.S.,ORG,-0.1111111111111111,0.0,de,9
US Geological Survey,US Geological Survey,ORG,-0.09444444444444444,0.0,de,9
The Guardian,The Guardian,ORG,0.125,0.0,de,8
lhe,lhe,ORG,0.0875,0.125,de,8
Volkswagen,Volkswagen,ORG,0.11666666666666665,0.0,de,8
Southern California Edison,Southern California Edison,ORG,-0.16666666666666666,0.25,de,8
EU,EU,ORG,-0.02500000000000001,0.03125,de,8
VW,VW,ORG,0.20416666666666666,0.0,de,8
CBS,CBS,ORG,-0.0875,0.0,de,8
Großraum Tokio,Großraum Tokio,ORG,0.4375,0.0,de,8
India Meteorological Department,India Meteorological Department,ORG,0.24285714285714285,0.0,de,7
Winterdienst,Winterdienst,ORG,-0.29999999999999993,0.0,de,7
Los Angeles Times,Los Angeles Times,ORG,0.0071428571428571175,0.07142857142857142,de,7
SPD,SPD,ORG,0.24285714285714285,0.0,de,7
CNN,CNN,ORG,0.0,0.0,de,7
NSW,NSW,ORG,0.08571428571428572,0.0,de,7
PHIVOLCS,PHIVOLCS,ORG,0.11666666666666665,0.0,de,6
Militär,Militär,ORG,0.2333333333333333,0.0,de,6
National Disaster Mitigation Agency,National Disaster Mitigation Agency,ORG,0.11666666666666665,0.16666666666666666,de,6
Grüne,Grüne,ORG,0.0,0.0,de,6
Repräsentantenhaus,Repräsentantenhaus,ORG,-0.15833333333333335,0.08333333333333333,de,6
US-Erdbebenwarte,US-Erdbebenwarte,ORG,0.0,0.0,de,6
NYC,NYC,ORG,0.2333333333333333,0.0,de,6
NOAA,NOAA,ORG,-0.06666666666666665,0.0,de,6
EU-Länder,EU-Länder,ORG,0.0,0.0,de,6
lrs,lrs,ORG,0.45,0.0,de,6
