,phrase,label,sentiment,subjectivity,language,count
Hurrikan Melissa,Hurrikan Melissa,PER,-0.28744292237442925,0.03835616438356164,de,73
Sturm Claudia,Sturm Claudia,PER,-0.02727272727272728,0.0,de,11
"Sturmtief ""Joshua","Sturmtief ""Joshua",PER,-0.21904761904761907,0.19047619047619047,de,7
Sturmtief „Joshua,Sturmtief „Joshua,PER,-0.11666666666666665,0.0,de,6
Ace Frehley,Ace Frehley,PER,0.0,0.0,de,4
"Sturm ""Bualoi","Sturm ""Bualoi",PER,0.0,0.0,de,4
"Supertaifun ""Fung-Wong","Supertaifun ""Fung-Wong",PER,0.0,0.0,de,4
Franziska Amler,Franziska Amler,PER,0.0,0.0,de,3
Camfil Canada,Camfil Canada,PER,0.4666666666666666,0.0,de,3
Gibran Rakabuming Raka,Gibran Rakabuming Raka,PER,-0.6666666666666666,0.0,de,3
Miles Morales,Miles Morales,PER,0.0,0.0,de,3
Filippo Grandi,Filippo Grandi,PER,0.3333333333333333,0.0,de,3
Tropischer Wirbelsturm,Tropischer Wirbelsturm,PER,0.0,0.0,de,3
Masoud Pezeshkian,Masoud Pezeshkian,PER,-0.3333333333333333,0.0,de,3
Geological Survey,Geological Survey,PER,0.0,0.0,de,3
Donald Trump,Donald Trump,PER,0.0,0.5,de,2
Jackson Blake,Jackson Blake,PER,-1.0,0.0,de,2
Jordan Staal,Jordan Staal,PER,-1.0,0.0,de,2
Bremens Umgang,Bremens Umgang,PER,-1.0,0.0,de,2
Sean Walker,Sean Walker,PER,-1.0,0.0,de,2
Björn Alexander,Björn Alexander,PER,-0.35,0.0,de,2
Suryakumar Yadav,Suryakumar Yadav,PER,0.0,0.0,de,2
Charlie Kirk,Charlie Kirk,PER,0.0,0.0,de,2
Thomas Pandola,Thomas Pandola,PER,-0.1625,0.0,de,2
Spaniens Regionalchef,Spaniens Regionalchef,PER,0.0,0.0,de,2
Andrew Holness,Andrew Holness,PER,0.0,0.0,de,2
verrottendem Getreide,verrottendem Getreide,PER,0.0,0.0,de,2
A$AP Rocky,A$AP Rocky,PER,-1.0,0.0,de,2
Tommy Robinson,Tommy Robinson,PER,-0.5,0.0,de,2
Atmospheric River,Atmospheric River,PER,0.0,0.0,de,2
Lula da Silva,Lula da Silva,PER,0.5,0.0,de,2
Omar Abdullah,Omar Abdullah,PER,0.35,0.0,de,2
Jason Allen,Jason Allen,PER,0.0,0.0,de,2
Greg Abbott,Greg Abbott,PER,0.0,0.0,de,2
Anya Taylor-Joy,Anya Taylor-Joy,PER,0.5,0.0,de,2
Baba Nanak,Baba Nanak,PER,0.0,0.0,de,2
Chris Evans,Chris Evans,PER,0.5,0.0,de,2
Tarun Chugh,Tarun Chugh,PER,-0.5,0.0,de,2
Stefan Winter,Stefan Winter,PER,0.0,0.0,de,2
Honolulu Star-Advertiser,Honolulu Star-Advertiser,PER,0.0,0.0,de,2
Datuk Seri Anwar Ibrahim,Datuk Seri Anwar Ibrahim,PER,-0.5,0.0,de,2
Warren Buffetts Berkshire Hathaway,Warren Buffetts Berkshire Hathaway,PER,-0.7,0.0,de,1
Christophe Jacrot,Christophe Jacrot,PER,0.7,0.0,de,1
Samia Suluhu Hassan,Samia Suluhu Hassan,PER,0.0,0.0,de,1
Jamaikas Hochsaison,Jamaikas Hochsaison,PER,-1.0,0.0,de,1
Dalton Stewart,Dalton Stewart,PER,-1.0,0.0,de,1
Hurrikan Ida,Hurrikan Ida,PER,-1.0,0.0,de,1
Mervyn Perry,Mervyn Perry,PER,-1.0,0.0,de,1
Gefahr von Überschwemmungen an der Küste,Gefahr von Überschwemmungen an der Küste,PER,0.7,0.0,de,1
Ashley Brauweiler,Ashley Brauweiler,PER,-0.7,0.0,de,1
Rochdales National-League-Spiel,Rochdales National-League-Spiel,PER,0.0,0.0,de,1
Sabihullah Mudschahid,Sabihullah Mudschahid,PER,-0.5,0.5,de,1
Jamaikas Flughäfen,Jamaikas Flughäfen,PER,0.0,0.0,de,1
Tanah Datar,Tanah Datar,PER,0.0,0.0,de,1
Melissa Melissa,Melissa Melissa,PER,0.0,0.0,de,1
Melissa Dächer,Melissa Dächer,PER,-1.0,0.0,de,1
Copernicus Sentinel-2,Copernicus Sentinel-2,PER,0.0,0.0,de,1
Javier Milei,Javier Milei,PER,0.0,1.0,de,1
Durchzug von Melissa,Durchzug von Melissa,PER,0.0,0.0,de,1
George Solis,George Solis,PER,0.0,0.0,de,1
Ex-Bürgermeister von Odessa,Ex-Bürgermeister von Odessa,PER,0.0,0.0,de,1
Hennadij Truchanow,Hennadij Truchanow,PER,0.0,0.0,de,1
Jamaikas Ärzteverband,Jamaikas Ärzteverband,PER,0.0,0.0,de,1
Rohan Thompson,Rohan Thompson,PER,0.0,0.0,de,1
Jamaika hinwegfegteSky,Jamaika hinwegfegteSky,PER,0.0,1.0,de,1
